trial,model,preprocessing,best_cv_accuracy,best_params,runtime_seconds
trial_1,knn_1,raw,0.922,{},1.1668269541114569
trial_1,knn_1,minmax,0.922,{},0.1897866930812597
trial_1,knn_1,pca_50,0.8885,{},2.072558555752039
trial_1,knn_1,pca_100,0.8835000000000001,{},2.2980858515948057
trial_1,knn_1,pca_150,0.8734999999999999,{},2.913836086168885
trial_1,knn_1,zscore,0.8634999999999999,{},0.1708237715065479
trial_1,linear_svm_ova,pca_50,0.8780000000000001,"{""classifier__estimator__C"": 0.1}",8.371379565447569
trial_1,linear_svm_ova,pca_100,0.8734999999999999,"{""classifier__estimator__C"": 0.01}",35.93319236300886
trial_1,linear_svm_ova,pca_150,0.8705,"{""classifier__estimator__C"": 0.01}",83.39642023853958
trial_1,linear_svm_ova,zscore,0.8445,"{""classifier__estimator__C"": 0.01}",617.8761907443404
trial_1,linear_svm_ova,raw,0.8285,"{""classifier__estimator__C"": 10.0}",2.991099214181304
trial_1,logistic_regression_ova,minmax,0.8885,"{""classifier__estimator__C"": 0.1}",2.4606726560741663
trial_1,logistic_regression_ova,pca_50,0.882,"{""classifier__estimator__C"": 1.0}",5.6036218367516994
trial_1,logistic_regression_ova,pca_100,0.8755,"{""classifier__estimator__C"": 1.0}",5.918671077117324
trial_1,logistic_regression_ova,pca_150,0.8720000000000001,"{""classifier__estimator__C"": 0.1}",8.147984404116869
trial_1,logistic_regression_ova,zscore,0.8545,"{""classifier__estimator__C"": 0.1}",18.485799096524715
trial_1,logistic_regression_ova,raw,0.8425,"{""classifier__estimator__C"": 0.1}",4.15994387678802
trial_1,mlp,minmax,0.921,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [256], ""classifier__learning_rate_init"": 0.01}",8.10909173823893
trial_1,mlp,pca_50,0.9135,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [256], ""classifier__learning_rate_init"": 0.01}",10.104152716696262
trial_1,mlp,pca_100,0.9004999999999999,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [128], ""classifier__learning_rate_init"": 0.01}",15.86455850303173
trial_1,mlp,zscore,0.8965,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [128], ""classifier__learning_rate_init"": 0.001}",8.850751239806414
