digit,precision,recall,f1,support
0,1.0,0.8,0.8888888888888888,15
1,0.36585365853658536,1.0,0.5357142857142857,15
2,0.7333333333333333,0.7333333333333333,0.7333333333333333,15
3,0.7142857142857143,0.6666666666666666,0.6896551724137931,15
4,0.3333333333333333,0.2,0.25,15
5,0.9230769230769231,0.8,0.8571428571428571,15
6,0.8823529411764706,1.0,0.9375,15
7,0.5714285714285714,0.5333333333333333,0.5517241379310345,15
8,0.9090909090909091,0.6666666666666666,0.7692307692307693,15
9,0.75,0.2,0.3157894736842105,15
