digit,precision,recall,f1,support
0,1.0,0.9333333333333333,0.9655172413793104,15
1,0.6818181818181818,1.0,0.8108108108108109,15
2,0.5625,0.6,0.5806451612903226,15
3,0.9,0.6,0.72,15
4,0.5714285714285714,0.26666666666666666,0.36363636363636365,15
5,0.7368421052631579,0.9333333333333333,0.8235294117647058,15
6,0.625,1.0,0.7692307692307693,15
7,0.6363636363636364,0.4666666666666667,0.5384615384615384,15
8,0.75,0.8,0.7741935483870968,15
9,0.36363636363636365,0.26666666666666666,0.3076923076923077,15
