digit,precision,recall,f1,support
0,1.0,0.5333333333333333,0.6956521739130435,15
1,0.6666666666666666,0.9333333333333333,0.7777777777777778,15
2,0.47368421052631576,0.6,0.5294117647058824,15
3,0.38461538461538464,0.3333333333333333,0.35714285714285715,15
4,0.42857142857142855,0.2,0.2727272727272727,15
5,0.4583333333333333,0.7333333333333333,0.5641025641025641,15
6,0.5416666666666666,0.8666666666666667,0.6666666666666666,15
7,0.6,0.4,0.48,15
8,0.6923076923076923,0.6,0.6428571428571429,15
9,0.36363636363636365,0.26666666666666666,0.3076923076923077,15
